username,name,bio,created_at,account_age_days,followers,following,statuses_count,default_profile_image,verified,post_text,label
helena_rocha,Igor Alves,fotografa e mae de dois,2013-11-02 21:00:00,4704,445,333,1208,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo depois conto o resto,0
ana_alves62,Bruno Alves,professora de historia,2014-03-09 21:00:00,4577,230,346,428,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal depois conto o resto",0
paula_alves67,Mariana Lima,"pai do Theo, torcedor sofredor",2019-11-04 05:00:00,2512,205,93,1412,0,0,"chuva forte aqui em Salvador hoje, transito parado recomendo (51)",0
nara_silva,Rafael Alves,"dev backend, cafe e gatos",2026-09-04 19:00:00,15,3,401,27,1,0,"alguem ai assistiu o jogo de ontem? que segundo tempo no mais, tudo tranquilo (85)",0
user5370968,Ganhe 1000,,2026-07-18 12:14:00,63,18,1152,1744,1,0,RENDA EXTRA de R$ 300 por dia!!! clique no link da bio e comece hoje https://cutt.ly/z3baed,1
otavio_rocha,Helena Silva,estudante de enfermagem,2023-07-02 18:00:00,1175,315,315,348,1,0,alguem ai assistiu o jogo de ontem? que segundo tempo coisa de louco,0
gustavo_lima98,Mariana Silva,professora de historia,2023-05-13 13:00:00,1225,15,27,379,0,0,recomendo muito esse restaurante novo no centro de Sao Paulo recomendo,0
rafael_silva40,Helena Souza,corredora amadora | 42k,2020-05-14 04:00:00,2320,209,66,1883,0,0,"bom dia, cafe e mais um dia de trabalho por aqui recomendo",0
mariana_alves,Paula Lima,musico nos fins de semana,2014-04-10 18:00:00,4545,1599,502,260,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio enfim (51),0
invest7322795,Renda Extra 24h,,2026-06-03 13:50:00,108,25,1496,5573,0,0,"Cupom exclusivo de R$ 200, ultimas vagas, clique no link https://bit.ly/ufscof",1
bruno_souza88,Lucas Alves,corredora amadora | 42k,2026-07-10 09:00:00,72,16,428,218,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal que dia (36)",0
bruno_alves14,Gustavo Rocha,,2026-08-09 17:00:00,41,23,429,127,0,0,recomendo muito esse restaurante novo no centro de Sao Paulo recomendo,0
paula_silva,Ana Rocha,,2014-06-14 16:00:00,4480,153,208,63,0,0,recomendo muito esse restaurante novo no centro de Belem no fim deu certo (9),0
paula_souza,Ana Lima,musico nos fins de semana,2020-08-18 10:00:00,2224,579,176,52,0,0,"terminei de ler o livro que a Carla indicou, valeu a pena que dia",0
fernanda_lima52,Otavio Rocha,,2012-09-01 19:00:00,5131,15,21,1315,0,0,"bom dia, cafe e mais um dia de trabalho por aqui bora pra cima (79)",0
otavio_lima88,Diego Lima,professora de historia,2021-12-31 17:00:00,1723,400,311,172,1,0,"bom dia, cafe e mais um dia de trabalho por aqui bora pra cima (13)",0
diego_souza19,Nara Silva,estudante de enfermagem,2023-03-24 02:00:00,1276,254,232,828,0,0,"treino feito, 6km hoje. devagar mas chegando coisa de louco",0
eduardo_rocha79,Juliana Silva,estudante de enfermagem,2026-07-13 05:00:00,69,11,422,241,0,0,"treino feito, 6km hoje. devagar mas chegando no mais, tudo tranquilo (93)",0
otavio_rocha,Helena Alves,"pai do Theo, torcedor sofredor",2015-07-02 13:00:00,4097,78,60,141,0,0,"terminei de ler o livro que a Rafael indicou, valeu a pena",0
invest828762,Ganhe 1000,link na bio https://tinyurl.com/ftb6jz,2026-02-03 16:12:00,228,17,1470,8692,1,0,"Sinal gratis de aposta, lucro garantido hoje!!! https://tinyurl.com/ftb6jz",1
mariana_souza78,Fernanda Silva,analista de dados em Sao Paulo,2016-01-16 22:00:00,3899,161,245,312,0,0,"recomendo muito esse restaurante novo no centro de Sao Paulo no mais, tudo tranquilo",0
bruno_silva50,Fernanda Lima,"pai do Theo, torcedor sofredor",2018-07-05 02:00:00,2999,1090,1924,1010,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal bora pra cima",0
juliana_silva20,Mariana Rocha,corredora amadora | 42k,2013-04-12 07:00:00,4909,503,1017,108,0,0,"opiniao impopular: filme antigo e melhor que remake no mais, tudo tranquilo",0
helena_rocha49,Ana Souza,musico nos fins de semana,2014-05-06 11:00:00,4520,796,231,2384,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo depois conto o resto,0
otavio_silva,Mariana Rocha,estudante de enfermagem,2017-09-29 01:00:00,3278,207,381,4126,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio ate semana que vem (28),0
bruno_rocha64,Diego Alves,professora de historia,2015-11-13 08:00:00,3964,59,66,387,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio bora pra cima,0
bruno_souza5,Mariana Rocha,"pai do Theo, torcedor sofredor",2013-04-29 05:00:00,4892,377,422,855,0,1,"chuva forte aqui em Recife hoje, transito parado enfim",0
diego_rocha,Ana Souza,corredora amadora | 42k,2018-03-18 04:00:00,3108,234,96,1585,1,0,opiniao impopular: filme antigo e melhor que remake depois conto o resto (22),0
rafael_silva,Fernanda Alves,professora de historia,2015-02-24 06:00:00,4226,171,211,178,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo no fim deu certo,0
bruno_souza,Mariana Silva,musico nos fins de semana,2024-05-11 16:00:00,861,79,70,2580,0,0,"obrigada pelas mensagens de aniversario, gente recomendo",0
user4374149,Promo 999,link na bio https://is.gd/r9ce64,2026-06-03 12:39:00,108,3,2767,2587,0,0,RENDA EXTRA de R$ 300 por dia!!! clique no link da bio e comece hoje https://is.gd/r9ce64,1
carla_lima,Helena Rocha,,2026-06-25 21:00:00,86,2,404,246,0,0,"recomendo muito esse restaurante novo no centro de Curitiba no mais, tudo tranquilo",0
juliana_alves6,Fernanda Alves,fotografa e mae de dois,2021-09-28 10:00:00,1818,1559,1120,208,0,0,"terminei de ler o livro que a Igor indicou, valeu a pena no mais, tudo tranquilo",0
gustavo_rocha88,Paula Silva,estudante de enfermagem,2026-09-13 20:00:00,6,26,436,11,0,0,"terminei de ler o livro que a Helena indicou, valeu a pena que dia (46)",0
nara_alves17,Paula Rocha,corredora amadora | 42k,2020-01-08 00:00:00,2447,71,38,2433,0,0,"obrigada pelas mensagens de aniversario, gente valeu quem ajudou",0
lucro7057907,Renda Extra 24h,,2026-06-03 13:21:00,108,1,1722,1851,1,0,"Cupom exclusivo de R$ 200, ultimas vagas, clique no link https://is.gd/psgzbx",1
carla_souza,Gustavo Lima,musico nos fins de semana,2016-08-16 17:00:00,3686,317,185,280,0,0,opiniao impopular: filme antigo e melhor que remake no fim deu certo (46),0
diego_alves27,Helena Lima,"dev backend, cafe e gatos",2012-11-20 23:00:00,5051,161,122,271,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo depois conto o resto,0
otavio_lima90,Lucas Rocha,musico nos fins de semana,2022-09-07 07:00:00,1474,1038,1436,241,0,0,"obrigada pelas mensagens de aniversario, gente",0
eduardo_rocha71,Diego Prado,"pai do Theo, torcedor sofredor",2019-07-25 22:00:00,2613,187,285,2439,1,0,quem ai tambem acordou cedo pra treinar? coisa de louco,1
gustavo_souza44,Gustavo Silva,,2022-12-14 10:00:00,1376,161,286,631,0,0,"treino feito, 6km hoje. devagar mas chegando no mais, tudo tranquilo",0
diego_lima,Lucas Alves,"dev backend, cafe e gatos",2018-05-29 18:00:00,3035,88,180,80,0,0,"obrigada pelas mensagens de aniversario, gente recomendo",0
mariana_alves,Fernanda Alves,"dev backend, cafe e gatos",2013-05-20 02:00:00,4871,562,1088,202,0,0,"treino feito, 6km hoje. devagar mas chegando",0
fernanda_lima79,Paula Alves,professora de historia,2017-07-16 18:00:00,3352,39,44,1348,0,0,"treino feito, 6km hoje. devagar mas chegando",0
helena_silva,Ana Silva,analista de dados em Sao Paulo,2023-03-18 07:00:00,1282,82,128,506,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo coisa de louco (9),0
rafael_souza16,Fernanda Rocha,fotografa e mae de dois,2023-12-15 06:00:00,1010,621,628,812,1,0,"terminei de ler o livro que a Juliana indicou, valeu a pena que dia",0
rafael_rocha,Lucas Alves,musico nos fins de semana,2022-06-07 08:00:00,1566,315,309,568,0,0,"terminei de ler o livro que a Diego indicou, valeu a pena",0
igor_souza,Bruno Alves,,2020-06-23 19:00:00,2279,243,416,54,0,0,"terminei de ler o livro que a Mariana indicou, valeu a pena no mais, tudo tranquilo",0
diego_lima,Otavio Alves,fotografa e mae de dois,2016-07-26 13:00:00,3707,182,108,626,0,0,"obrigada pelas mensagens de aniversario, gente depois conto o resto",0
igor_silva,Juliana Silva,corredora amadora | 42k,2019-02-05 16:00:00,2783,432,661,131,0,0,opiniao impopular: filme antigo e melhor que remake (35),0
mariana_souza,Mariana Silva,analista de dados em Recife,2018-04-29 09:00:00,3066,67,56,1615,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio recomendo (61),0
bruno_rocha,Diego Silva,,2019-09-09 22:00:00,2567,3554,5000,728,0,0,"obrigada pelas mensagens de aniversario, gente no mais, tudo tranquilo",0
carla_souza39,Helena Silva,estudante de enfermagem,2019-12-05 16:00:00,2480,732,365,432,0,0,recomendo muito esse restaurante novo no centro de Belem enfim,0
igor_alves17,Paula Lima,professora de historia,2025-12-18 13:00:00,275,78,40,1152,0,0,"treino feito, 6km hoje. devagar mas chegando bora pra cima",0
bruno_lima,Rafael Souza,"pai do Theo, torcedor sofredor",2026-07-26 02:00:00,56,15,427,164,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio depois conto o resto,0
user7624417,Ganhe 1000,link na bio https://tinyurl.com/b8nvbw,2026-02-23 12:50:00,208,12,2315,8494,0,0,"Cupom exclusivo de R$ 200, ultimas vagas, clique no link https://tinyurl.com/b8nvbw",1
mariana_rocha,Bruno Lima,"dev backend, cafe e gatos",2014-08-25 14:00:00,4408,587,724,385,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal",0
rafael_lima21,Nara Silva,,2019-10-02 08:00:00,2545,1242,2294,1973,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal no mais, tudo tranquilo",0
bruno_alves,Juliana Silva,"pai do Theo, torcedor sofredor",2020-07-12 06:00:00,2261,692,362,414,0,0,recomendo muito esse restaurante novo no centro de Goiania amanha continuo,0
igor_silva90,Nara Lima,analista de dados em Goiania,2021-10-01 04:00:00,1815,19,23,641,0,0,"chuva forte aqui em Goiania hoje, transito parado no fim deu certo (4)",0
diego_souza22,Lucas Souza,,2025-03-04 16:00:00,564,23,43,1073,0,0,recomendo muito esse restaurante novo no centro de Sao Paulo bora pra cima,0
nara_rocha35,Fernanda Rocha,estudante de enfermagem,2019-10-31 23:00:00,2515,610,188,363,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal que dia",0
juliana_lima3,Otavio Silva,analista de dados em Curitiba,2026-08-23 15:00:00,27,3,403,74,0,0,"obrigada pelas mensagens de aniversario, gente que dia",0
ana8016335,Promo 999,,2026-03-02 12:34:00,201,24,2104,8117,0,0,"Sinal gratis de aposta, lucro garantido hoje!!! https://bit.ly/qo60ud",1
juliana_souza,Rafael Alves,professora de historia,2026-03-04 18:00:00,199,95,168,566,0,0,"bom dia, cafe e mais um dia de trabalho por aqui valeu quem ajudou",0
nara_rocha55,Helena Lima,professora de historia,2026-09-07 23:00:00,12,3,400,87,0,0,recomendo muito esse restaurante novo no centro de Curitiba que dia (25),0
lucas_souza34,Igor Lima,fotografa e mae de dois,2017-10-03 16:00:00,3273,220,385,227,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal depois conto o resto (11)",0
helena_lima2,Diego Silva,musico nos fins de semana,2026-07-22 17:00:00,59,45,473,177,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal recomendo",0
eduardo_lima,Carla Souza,musico nos fins de semana,2022-08-31 04:00:00,1481,431,938,718,0,0,"renda extra? venha ser revendedora comigo, explico tudo https://is.gd/pjlgg1",0
nara_silva,Lucas Souza,analista de dados em Belem,2022-07-19 21:00:00,1523,438,310,1378,0,0,"terminei de ler o livro que a Bruno indicou, valeu a pena bora pra cima",0
igor_silva,Igor Lima,"dev backend, cafe e gatos",2026-02-22 13:00:00,209,29,36,202,0,0,"bom dia, cafe e mais um dia de trabalho por aqui que dia",0
nara_souza,Diego Souza,analista de dados em Recife,2014-11-25 02:00:00,4317,449,805,624,0,0,"obrigada pelas mensagens de aniversario, gente bora pra cima",0
gustavo_alves,Ana Silva,analista de dados em Recife,2024-01-23 06:00:00,971,406,435,331,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio que dia (28),0
juliana_alves93,Bruno Souza,musico nos fins de semana,2022-07-18 15:00:00,1524,178,197,1759,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio coisa de louco (19),0
rafael_souza,Fernanda Silva,analista de dados em Curitiba,2016-11-30 07:00:00,3581,319,481,292,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo ate semana que vem (59),0
bruno_alves15,Rafael Lima,musico nos fins de semana,2020-04-09 04:00:00,2355,1485,1248,975,0,0,"bom dia, cafe e mais um dia de trabalho por aqui",0
mariana_rocha,Mariana Lima,analista de dados em Belem,2025-04-19 00:00:00,519,263,376,1781,0,0,"vagas limitadas no curso de bolo caseiro, chama no direct pra reservar",0
fernanda_rocha,Paula Alves,estudante de enfermagem,2022-07-22 12:00:00,1521,226,456,272,0,0,"chuva forte aqui em Curitiba hoje, transito parado valeu quem ajudou",0
eduardo_lima,Helena Souza,fotografa e mae de dois,2013-09-20 06:00:00,4748,242,517,98,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo amanha continuo (43),0
fernanda_silva,Fernanda Silva,estudante de enfermagem,2015-02-05 00:00:00,4245,15,12,117,0,0,"terminei de ler o livro que a Igor indicou, valeu a pena ate semana que vem",0
otavio_souza,Eduardo Alves,corredora amadora | 42k,2016-07-05 06:00:00,3729,645,344,88,0,0,"chuva forte aqui em Belem hoje, transito parado coisa de louco",0
helena_silva,Juliana Souza,"pai do Theo, torcedor sofredor",2018-09-14 00:00:00,2928,183,265,1058,0,0,"vagas limitadas no curso de bolo caseiro, chama no direct pra reservar",0
gustavo_silva14,Diego Lima,musico nos fins de semana,2025-04-24 19:00:00,513,403,577,1284,0,0,"terminei de ler o livro que a Igor indicou, valeu a pena amanha continuo",0
gustavo_rocha,Nara Silva,corredora amadora | 42k,2022-02-26 14:00:00,1666,116,224,1135,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo coisa de louco (32),0
lucas_silva,Diego Silva,fotografa e mae de dois,2015-01-18 13:00:00,4262,616,738,369,0,0,"obrigada pelas mensagens de aniversario, gente enfim",0
diego_lima,Bruno Souza,"dev backend, cafe e gatos",2025-09-04 03:00:00,381,128,47,147,0,0,opiniao impopular: filme antigo e melhor que remake que dia,0
nara_souza,Bruno Rocha,,2026-07-25 14:00:00,56,26,423,159,0,0,promocao de hoje na loja: cupom de 20% pra quem chegar antes do meio dia,0
eduardo_alves,Ana Alves,estudante de enfermagem,2013-04-13 19:00:00,4907,971,1032,93,0,0,recomendo muito esse restaurante novo no centro de Belem coisa de louco (22),0
carla_alves,Gustavo Alves,"dev backend, cafe e gatos",2020-11-11 18:00:00,2138,135,204,1823,0,0,recomendo muito esse restaurante novo no centro de Goiania amanha continuo (63),0
otavio_rocha36,Igor Silva,fotografa e mae de dois,2022-08-03 23:00:00,1508,49,90,533,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal (21)",0
mariana_souza65,Lucas Rocha,corredora amadora | 42k,2013-04-02 18:00:00,4918,1982,2908,531,0,0,"chuva forte aqui em Recife hoje, transito parado enfim (22)",0
mariana_silva,Paula Souza,professora de historia,2017-01-26 20:00:00,3523,4341,2790,871,0,0,recomendo muito esse restaurante novo no centro de Salvador que dia (31),0
rafael_alves,Carla Lima,analista de dados em Salvador,2019-01-15 23:00:00,2804,162,183,823,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo enfim (39),0
nara_silva,Fernanda Alves,,2024-12-07 14:00:00,651,137,133,898,0,0,"obrigada pelas mensagens de aniversario, gente enfim",0
gustavo_rocha,Lucas Silva,analista de dados em Porto Alegre,2017-07-04 04:00:00,3365,553,1197,398,1,0,"bom dia, cafe e mais um dia de trabalho por aqui enfim",0
gustavo_silva,Paula Alves,analista de dados em Porto Alegre,2025-06-11 20:00:00,465,129,269,96,0,0,"terminei de ler o livro que a Rafael indicou, valeu a pena coisa de louco",0
nara_rocha21,Gustavo Souza,,2018-09-01 06:00:00,2941,302,382,221,0,0,"obrigada pelas mensagens de aniversario, gente no mais, tudo tranquilo (79)",0
promo9792396,Ana 7712,link na bio https://encurtador.com.br/pfe8rt,2026-06-08 13:47:00,103,21,1279,4095,1,0,"Sinal gratis de aposta, lucro garantido hoje!!! https://encurtador.com.br/pfe8rt",1
ganhe2121539,Ganhe 1000,,2026-02-23 12:21:00,208,2,1541,3468,0,0,SEGUIDORES GRATIS!!! siga de volta e me chama no whats https://cutt.ly/ga5mkv,1
juliana_silva,Ana Lima,professora de historia,2026-08-28 16:00:00,22,2,401,57,0,0,"treino feito, 6km hoje. devagar mas chegando ate semana que vem (8)",0
lucas_alves,Gustavo Lima,musico nos fins de semana,2026-01-31 18:00:00,231,298,233,1917,0,0,"obrigada pelas mensagens de aniversario, gente depois conto o resto",0
ganhe4818252,Invest Bot,,2025-10-13 13:12:00,341,5,575,18272,1,0,"Sinal gratis de aposta, lucro garantido hoje!!! https://tinyurl.com/35cx4o",1
rafael_silva33,Helena Silva,"pai do Theo, torcedor sofredor",2026-09-11 20:00:00,8,20,406,24,0,0,"chuva forte aqui em Belem hoje, transito parado no mais, tudo tranquilo (82)",0
mariana_silva,Rafael Rocha,fotografa e mae de dois,2021-01-05 18:00:00,2083,59,81,171,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio (52),0
juliana_alves86,Gustavo Silva,musico nos fins de semana,2018-12-05 08:00:00,2846,276,187,668,0,0,"bom dia, cafe e mais um dia de trabalho por aqui enfim",0
carla_rocha84,Lucas Rocha,fotografa e mae de dois,2022-12-17 05:00:00,1373,53,88,133,0,0,"obrigada pelas mensagens de aniversario, gente (62)",0
eduardo_lima,Juliana Souza,analista de dados em Curitiba,2024-10-19 10:00:00,701,636,1176,278,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo,0
bruno_alves,Paula Silva,"dev backend, cafe e gatos",2025-11-13 19:00:00,310,86,92,1795,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio no fim deu certo (54),0
lucas_alves6,Nara Souza,professora de historia,2026-08-05 06:00:00,46,23,437,92,0,0,"terminei de ler o livro que a Igor indicou, valeu a pena ate semana que vem",0
eduardo_silva,Igor Silva,fotografa e mae de dois,2019-05-02 02:00:00,2698,505,327,335,0,1,recomendo muito esse restaurante novo no centro de Curitiba ate semana que vem,0
lucro5475904,Invest Bot,link na bio https://encurtador.com.br/j3wg80,2026-06-03 13:21:00,108,3,2458,6129,1,0,"Cupom exclusivo de R$ 200, ultimas vagas, clique no link https://encurtador.com.br/j3wg80",1
diego_souza0,Diego Silva,estudante de enfermagem,2026-09-09 10:00:00,11,2,401,50,0,0,"bom dia, cafe e mais um dia de trabalho por aqui enfim",0
invest1929061,Promo 999,,2026-06-08 15:10:00,103,26,2228,3727,1,0,Airdrop de cripto liberado! dobre seu investimento em 24h https://cutt.ly/fnf7x8,1
rafael_silva,Otavio Lima,corredora amadora | 42k,2023-05-20 03:00:00,1219,816,1687,138,0,0,"chuva forte aqui em Goiania hoje, transito parado coisa de louco",0
gustavo_silva10,Fernanda Silva,"pai do Theo, torcedor sofredor",2026-08-04 17:00:00,46,0,400,165,1,0,opiniao impopular: filme antigo e melhor que remake valeu quem ajudou (37),0
eduardo_alves87,Diego Souza,estudante de enfermagem,2016-09-14 08:00:00,3658,483,786,1138,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal amanha continuo (68)",0
igor_alves,Helena Rocha,musico nos fins de semana,2025-12-09 17:00:00,284,722,456,1505,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo recomendo,0
promo9068871,Renda Extra 24h,,2026-02-23 15:16:00,208,30,589,5456,1,0,"Sinal gratis de aposta, lucro garantido hoje!!! https://encurtador.com.br/0bgh70",1
rafael_souza,Helena Souza,,2026-08-15 20:00:00,35,2,402,119,0,0,recomendo muito esse restaurante novo no centro de Belem recomendo,0
diego_rocha,Fernanda Rocha,"dev backend, cafe e gatos",2016-01-05 02:00:00,3911,373,404,189,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio depois conto o resto (78),0
fernanda_souza4,Carla Alves,musico nos fins de semana,2026-04-27 17:00:00,145,15,17,98,0,0,"bom dia, cafe e mais um dia de trabalho por aqui amanha continuo",0
fernanda_souza,Paula Prado,fotografa e mae de dois,2025-02-03 17:00:00,593,81,44,717,0,0,"que dia lindo hoje, aproveitando o sol enfim",1
invest9206266,Ganhe 1000,link na bio https://encurtador.com.br/oxakjb,2025-10-13 14:22:00,341,7,2467,10463,1,0,"GANHE DINHEIRO em casa!!! vagas limitadas, chama no direct agora https://encurtador.com.br/oxakjb",1
carla_silva95,Lucas Alves,fotografa e mae de dois,2021-09-05 13:00:00,1840,574,569,1422,0,0,"obrigada pelas mensagens de aniversario, gente valeu quem ajudou",0
igor_silva47,Paula Alves,"pai do Theo, torcedor sofredor",2019-10-01 01:00:00,2546,2656,1950,111,0,0,"bom dia, cafe e mais um dia de trabalho por aqui coisa de louco",0
eduardo_souza,Gustavo Lima,,2023-08-19 01:00:00,1128,56,99,457,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal",0
invest1184054,Invest Bot,link na bio https://bit.ly/zlq4zh,2026-06-03 16:01:00,108,7,1723,1481,1,0,RENDA EXTRA de R$ 300 por dia!!! clique no link da bio e comece hoje https://bit.ly/zlq4zh,1
lucas_silva,Igor Souza,"dev backend, cafe e gatos",2022-09-09 07:00:00,1472,100,160,1750,0,0,"treino feito, 6km hoje. devagar mas chegando no fim deu certo (55)",0
fernanda_silva46,Gustavo Souza,,2018-10-05 11:00:00,2907,74,25,4035,0,0,"treino feito, 6km hoje. devagar mas chegando ate semana que vem (87)",0
juliana_lima,Bruno Souza,musico nos fins de semana,2017-12-24 08:00:00,3192,24,12,873,0,0,"bom dia, cafe e mais um dia de trabalho por aqui amanha continuo",0
helena_souza,Gustavo Rocha,professora de historia,2020-08-09 09:00:00,2233,1475,2325,745,0,0,"bom dia, cafe e mais um dia de trabalho por aqui amanha continuo",0
invest1458357,Promo 999,,2026-06-03 14:11:00,108,6,2122,2274,0,0,Airdrop de cripto liberado! dobre seu investimento em 24h https://bit.ly/fldfsa,1
mariana_silva,Fernanda Silva,fotografa e mae de dois,2012-10-14 17:00:00,5088,367,513,84,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo recomendo,0
lucas_rocha,Gustavo Rocha,fotografa e mae de dois,2022-05-07 15:00:00,1596,850,589,304,0,0,"obrigada pelas mensagens de aniversario, gente recomendo",0
carla_souza16,Gustavo Alves,fotografa e mae de dois,2026-07-05 07:00:00,77,30,421,212,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo depois conto o resto,0
bruno_rocha,Ana Silva,"dev backend, cafe e gatos",2015-03-31 20:00:00,4190,223,376,713,1,0,opiniao impopular: filme antigo e melhor que remake amanha continuo (4),0
paula_silva29,Nara Alves,"pai do Theo, torcedor sofredor",2024-09-24 22:00:00,725,226,465,1484,0,0,dica pra quem estuda seguranca: pratique em laboratorio proprio ate semana que vem (62),0
nara_souza,Ana Lima,fotografa e mae de dois,2026-03-01 03:00:00,203,69,73,295,0,0,"terminei de ler o livro que a Paula indicou, valeu a pena que dia (69)",0
carla_silva,Fernanda Alves,"pai do Theo, torcedor sofredor",2026-06-29 20:00:00,82,14,416,257,0,0,"bom dia, cafe e mais um dia de trabalho por aqui bora pra cima",0
ana2994940,Promo 999,,2026-02-03 12:29:00,228,33,2378,2537,1,0,RENDA EXTRA de R$ 300 por dia!!! clique no link da bio e comece hoje https://bit.ly/q9fndu,1
diego_souza,Eduardo Rocha,fotografa e mae de dois,2013-08-08 00:00:00,4791,121,88,1747,0,0,"bom dia, cafe e mais um dia de trabalho por aqui bora pra cima",0
carla_souza,Bruno Lima,fotografa e mae de dois,2013-06-15 22:00:00,4844,3750,5000,665,0,0,"obrigada pelas mensagens de aniversario, gente",0
fernanda_rocha,Juliana Souza,"pai do Theo, torcedor sofredor",2019-04-17 13:00:00,2712,210,143,1440,0,0,"obrigada pelas mensagens de aniversario, gente enfim (8)",0
otavio_souza0,Carla Silva,musico nos fins de semana,2021-11-22 12:00:00,1763,260,556,313,0,0,"terminei de ler o livro que a Carla indicou, valeu a pena bora pra cima (63)",0
promo4627637,Ganhe 1000,,2026-03-10 15:36:00,193,1,2375,6837,1,0,SEGUIDORES GRATIS!!! siga de volta e me chama no whats https://is.gd/7wz9qg,1
carla_silva16,Eduardo Lima,fotografa e mae de dois,2016-12-20 10:00:00,3561,224,372,3119,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal coisa de louco (79)",0
